Name,Year,Month
Ethereum,2023,7
Avalanche,2023,7
Optimism,2023,7
Polygon,2023,7
Arbitrum,2023,9
Base,2023,9
BNB Chain,2023,9
ZkSync,2024,9
Linea,2024,10
Mantle,2024,12
Scroll,2024,10
Celo,2024,5
Aptos,2024,5
Gravity,2024,12
Astar,2024,11
B2 Network,2024,10
Gnosis,2024,6
Kroma,2024,3
Metis,2024,8
WEMIX,2024,4
Mind Network,2024,5
Mode,2024,6
Ronin,2024,12
Shibarium,2024,12
Blast,2024,10
X Layer,2025,2
World Chain,2025,1
Hemi,2025,3
ApeChain,2025,3
Crosnos,2025,3
Cronos zkEVM,2025,3
Hedera,2025,3
UniChain,2025,2
Ink,2025,2
Polygon zkEVM,2025,2
Bitlayer,2025,2
Corn,2025,2
Haskey Chain,2025,2
Sei,2025,2
Soneium,2025,2
Monad,2025,2
Berachain,2025,2
Treasure,2025,2
BotanixLabs,2025,2
Fraxtal,2025,2
Core,2025,2
Lens,2025,2
Merlin Chain,2025,2
Sonic,2025,1
BOB,2025,1